sample,fastq_1,fastq_2
H5CK2004RP4D70,NS.X0182.001.IDT_i7_10---IDT_i5_10.H5CK2004RP4D70_R1.fastq.gz,NS.X0182.001.IDT_i7_10---IDT_i5_10.H5CK2004RP4D70_R2.fastq.gz
H5CK2062RP4D70,NS.X0182.001.IDT_i7_11---IDT_i5_11.H5CK2062RP4D70_R1.fastq.gz,NS.X0182.001.IDT_i7_11---IDT_i5_11.H5CK2062RP4D70_R2.fastq.gz
H5CF8529RP5D70,NS.X0182.001.IDT_i7_12---IDT_i5_12.H5CF8529RP5D70_R1.fastq.gz,NS.X0182.001.IDT_i7_12---IDT_i5_12.H5CF8529RP5D70_R2.fastq.gz
H5CF8598RP9D70,NS.X0182.001.IDT_i7_143---IDT_i5_143.H5CF8598RP9D70_R1.fastq.gz,NS.X0182.001.IDT_i7_143---IDT_i5_143.H5CF8598RP9D70_R2.fastq.gz
H5CE7596RP1D00,NS.X0182.001.IDT_i7_20---IDT_i5_20.H5CE7596RP1D00_R1.fastq.gz,NS.X0182.001.IDT_i7_20---IDT_i5_20.H5CE7596RP1D00_R2.fastq.gz
H5CK2731RP1D00,NS.X0182.001.IDT_i7_22---IDT_i5_22.H5CK2731RP1D00_R1.fastq.gz,NS.X0182.001.IDT_i7_22---IDT_i5_22.H5CK2731RP1D00_R2.fastq.gz
H5CK2781RP1D00,NS.X0182.001.IDT_i7_23---IDT_i5_23.H5CK2781RP1D00_R1.fastq.gz,NS.X0182.001.IDT_i7_23---IDT_i5_23.H5CK2781RP1D00_R2.fastq.gz
H5CF8122RP2D00,NS.X0182.001.IDT_i7_24---IDT_i5_24.H5CF8122RP2D00_R1.fastq.gz,NS.X0182.001.IDT_i7_24---IDT_i5_24.H5CF8122RP2D00_R2.fastq.gz
H5CE7084RP4D70,NS.X0182.001.IDT_i7_9---IDT_i5_9.H5CE7084RP4D70_R1.fastq.gz,NS.X0182.001.IDT_i7_9---IDT_i5_9.H5CE7084RP4D70_R2.fastq.gz
H5CE7109RP8D70,NS.X0182.003.IDT_i7_101---IDT_i5_101.H5CE7109RP8D70_R1.fastq.gz,NS.X0182.003.IDT_i7_101---IDT_i5_101.H5CE7109RP8D70_R2.fastq.gz
H5CE7513RP9D70,NS.X0182.003.IDT_i7_149---IDT_i5_149.H5CE7513RP9D70_R1.fastq.gz,NS.X0182.003.IDT_i7_149---IDT_i5_149.H5CE7513RP9D70_R2.fastq.gz
H5CE7505RP6D70,NS.X0182.003.IDT_i7_198---IDT_i5_198.H5CE7505RP6D70_R1.fastq.gz,NS.X0182.003.IDT_i7_198---IDT_i5_198.H5CE7505RP6D70_R2.fastq.gz
H5CE7560RP3D00,NS.X0182.003.IDT_i7_210---IDT_i5_210.H5CE7560RP3D00_R1.fastq.gz,NS.X0182.003.IDT_i7_210---IDT_i5_210.H5CE7560RP3D00_R2.fastq.gz
H5CF8074RP3D00,NS.X0182.003.IDT_i7_211---IDT_i5_211.H5CF8074RP3D00_R1.fastq.gz,NS.X0182.003.IDT_i7_211---IDT_i5_211.H5CF8074RP3D00_R2.fastq.gz
H5CE7505RP6D00,NS.X0182.003.IDT_i7_222---IDT_i5_222.H5CE7505RP6D00_R1.fastq.gz,NS.X0182.003.IDT_i7_222---IDT_i5_222.H5CE7505RP6D00_R2.fastq.gz
H5CE7513RP9D00,NS.X0182.003.IDT_i7_234---IDT_i5_234.H5CE7513RP9D00_R1.fastq.gz,NS.X0182.003.IDT_i7_234---IDT_i5_234.H5CE7513RP9D00_R2.fastq.gz
H5CE7560RP3D28,NS.X0182.003.IDT_i7_246---IDT_i5_246.H5CE7560RP3D28_R1.fastq.gz,NS.X0182.003.IDT_i7_246---IDT_i5_246.H5CE7560RP3D28_R2.fastq.gz
H5CE7505RP6D28,NS.X0182.003.IDT_i7_258---IDT_i5_258.H5CE7505RP6D28_R1.fastq.gz,NS.X0182.003.IDT_i7_258---IDT_i5_258.H5CE7505RP6D28_R2.fastq.gz
H5CE7109RP8D28,NS.X0182.003.IDT_i7_266---IDT_i5_266.H5CE7109RP8D28_R1.fastq.gz,NS.X0182.003.IDT_i7_266---IDT_i5_266.H5CE7109RP8D28_R2.fastq.gz
H5CE7513RP9D28,NS.X0182.003.IDT_i7_270---IDT_i5_270.H5CE7513RP9D28_R1.fastq.gz,NS.X0182.003.IDT_i7_270---IDT_i5_270.H5CE7513RP9D28_R2.fastq.gz
H5CE7560RP3D70,NS.X0182.003.IDT_i7_282---IDT_i5_282.H5CE7560RP3D70_R1.fastq.gz,NS.X0182.003.IDT_i7_282---IDT_i5_282.H5CE7560RP3D70_R2.fastq.gz
H5CF8069RP7D00,NS.X0182.003.IDT_i7_44---IDT_i5_44.H5CF8069RP7D00_R1.fastq.gz,NS.X0182.003.IDT_i7_44---IDT_i5_44.H5CF8069RP7D00_R2.fastq.gz
H5CE7109RP8D00,NS.X0182.003.IDT_i7_48---IDT_i5_48.H5CE7109RP8D00_R1.fastq.gz,NS.X0182.003.IDT_i7_48---IDT_i5_48.H5CE7109RP8D00_R2.fastq.gz
H5CE7084RP4D28,NS.X0182.003.IDT_i7_68---IDT_i5_68.H5CE7084RP4D28_R1.fastq.gz,NS.X0182.003.IDT_i7_68---IDT_i5_68.H5CE7084RP4D28_R2.fastq.gz
H5CF8069RP7D28,NS.X0182.003.IDT_i7_80---IDT_i5_80.H5CF8069RP7D28_R1.fastq.gz,NS.X0182.003.IDT_i7_80---IDT_i5_80.H5CF8069RP7D28_R2.fastq.gz
H5CE7596RP1D70,NS.X0182.003.IDT_i7_92---IDT_i5_92.H5CE7596RP1D70_R1.fastq.gz,NS.X0182.003.IDT_i7_92---IDT_i5_92.H5CE7596RP1D70_R2.fastq.gz
H5CF8069RP7D70,NS.X0182.003.IDT_i7_99---IDT_i5_99.H5CF8069RP7D70_R1.fastq.gz,NS.X0182.003.IDT_i7_99---IDT_i5_99.H5CF8069RP7D70_R2.fastq.gz
H5CK2126RP3D00,NS.X0182.004.IDT_i7_109---IDT_i5_109.H5CK2126RP3D00_R1.fastq.gz,NS.X0182.004.IDT_i7_109---IDT_i5_109.H5CK2126RP3D00_R2.fastq.gz
H5CK2791RP3D00,NS.X0182.004.IDT_i7_110---IDT_i5_110.H5CK2791RP3D00_R1.fastq.gz,NS.X0182.004.IDT_i7_110---IDT_i5_110.H5CK2791RP3D00_R2.fastq.gz
H5CF8587RP8D70,NS.X0182.004.IDT_i7_113---IDT_i5_113.H5CF8587RP8D70_R1.fastq.gz,NS.X0182.004.IDT_i7_113---IDT_i5_113.H5CF8587RP8D70_R2.fastq.gz
H5CK2005RP6D00,NS.X0182.004.IDT_i7_121---IDT_i5_121.H5CK2005RP6D00_R1.fastq.gz,NS.X0182.004.IDT_i7_121---IDT_i5_121.H5CK2005RP6D00_R2.fastq.gz
H5CK2078RP6D00,NS.X0182.004.IDT_i7_122---IDT_i5_122.H5CK2078RP6D00_R1.fastq.gz,NS.X0182.004.IDT_i7_122---IDT_i5_122.H5CK2078RP6D00_R2.fastq.gz
H5CK2059RP8D70,NS.X0182.004.IDT_i7_125---IDT_i5_125.H5CK2059RP8D70_R1.fastq.gz,NS.X0182.004.IDT_i7_125---IDT_i5_125.H5CK2059RP8D70_R2.fastq.gz
H5CK2008RP9D00,NS.X0182.004.IDT_i7_133---IDT_i5_133.H5CK2008RP9D00_R1.fastq.gz,NS.X0182.004.IDT_i7_133---IDT_i5_133.H5CK2008RP9D00_R2.fastq.gz
H5CK2813RP9D00,NS.X0182.004.IDT_i7_134---IDT_i5_134.H5CK2813RP9D00_R1.fastq.gz,NS.X0182.004.IDT_i7_134---IDT_i5_134.H5CK2813RP9D00_R2.fastq.gz
H5CK2758RP8D70,NS.X0182.004.IDT_i7_137---IDT_i5_137.H5CK2758RP8D70_R1.fastq.gz,NS.X0182.004.IDT_i7_137---IDT_i5_137.H5CK2758RP8D70_R2.fastq.gz
H5CK2126RP3D28,NS.X0182.004.IDT_i7_145---IDT_i5_145.H5CK2126RP3D28_R1.fastq.gz,NS.X0182.004.IDT_i7_145---IDT_i5_145.H5CK2126RP3D28_R2.fastq.gz
H5CK2791RP3D28,NS.X0182.004.IDT_i7_146---IDT_i5_146.H5CK2791RP3D28_R1.fastq.gz,NS.X0182.004.IDT_i7_146---IDT_i5_146.H5CK2791RP3D28_R2.fastq.gz
H5CK2005RP6D28,NS.X0182.004.IDT_i7_157---IDT_i5_157.H5CK2005RP6D28_R1.fastq.gz,NS.X0182.004.IDT_i7_157---IDT_i5_157.H5CK2005RP6D28_R2.fastq.gz
H5CK2078RP6D28,NS.X0182.004.IDT_i7_158---IDT_i5_158.H5CK2078RP6D28_R1.fastq.gz,NS.X0182.004.IDT_i7_158---IDT_i5_158.H5CK2078RP6D28_R2.fastq.gz
H5CF8513RP7D70,NS.X0182.004.IDT_i7_160---IDT_i5_160.H5CF8513RP7D70_R1.fastq.gz,NS.X0182.004.IDT_i7_160---IDT_i5_160.H5CF8513RP7D70_R2.fastq.gz
H5CK2008RP9D28,NS.X0182.004.IDT_i7_169---IDT_i5_169.H5CK2008RP9D28_R1.fastq.gz,NS.X0182.004.IDT_i7_169---IDT_i5_169.H5CK2008RP9D28_R2.fastq.gz
H5CK2813RP9D28,NS.X0182.004.IDT_i7_170---IDT_i5_170.H5CK2813RP9D28_R1.fastq.gz,NS.X0182.004.IDT_i7_170---IDT_i5_170.H5CK2813RP9D28_R2.fastq.gz
H5CK2717RP7D70,NS.X0182.004.IDT_i7_172---IDT_i5_172.H5CK2717RP7D70_R1.fastq.gz,NS.X0182.004.IDT_i7_172---IDT_i5_172.H5CK2717RP7D70_R2.fastq.gz
H5CK2008RP9D70,NS.X0182.004.IDT_i7_173---IDT_i5_173.H5CK2008RP9D70_R1.fastq.gz,NS.X0182.004.IDT_i7_173---IDT_i5_173.H5CK2008RP9D70_R2.fastq.gz
H5CK2126RP3D70,NS.X0182.004.IDT_i7_181---IDT_i5_181.H5CK2126RP3D70_R1.fastq.gz,NS.X0182.004.IDT_i7_181---IDT_i5_181.H5CK2126RP3D70_R2.fastq.gz
H5CK2791RP3D70,NS.X0182.004.IDT_i7_182---IDT_i5_182.H5CK2791RP3D70_R1.fastq.gz,NS.X0182.004.IDT_i7_182---IDT_i5_182.H5CK2791RP3D70_R2.fastq.gz
H5CK2747RP7D70,NS.X0182.004.IDT_i7_184---IDT_i5_184.H5CK2747RP7D70_R1.fastq.gz,NS.X0182.004.IDT_i7_184---IDT_i5_184.H5CK2747RP7D70_R2.fastq.gz
H5CK2813RP9D70,NS.X0182.004.IDT_i7_185---IDT_i5_185.H5CK2813RP9D70_R1.fastq.gz,NS.X0182.004.IDT_i7_185---IDT_i5_185.H5CK2813RP9D70_R2.fastq.gz
H5CK2034RP5D70,NS.X0182.004.IDT_i7_195---IDT_i5_195.H5CK2034RP5D70_R1.fastq.gz,NS.X0182.004.IDT_i7_195---IDT_i5_195.H5CK2034RP5D70_R2.fastq.gz
H5CK2120RP5D70,NS.X0182.004.IDT_i7_196---IDT_i5_196.H5CK2120RP5D70_R1.fastq.gz,NS.X0182.004.IDT_i7_196---IDT_i5_196.H5CK2120RP5D70_R2.fastq.gz
H5CK2713RP5D70,NS.X0182.004.IDT_i7_197---IDT_i5_197.H5CK2713RP5D70_R1.fastq.gz,NS.X0182.004.IDT_i7_197---IDT_i5_197.H5CK2713RP5D70_R2.fastq.gz
H5CF8538RP6D70,NS.X0182.004.IDT_i7_199---IDT_i5_199.H5CF8538RP6D70_R1.fastq.gz,NS.X0182.004.IDT_i7_199---IDT_i5_199.H5CF8538RP6D70_R2.fastq.gz
H5CK2100RP2D00,NS.X0182.004.IDT_i7_207---IDT_i5_207.H5CK2100RP2D00_R1.fastq.gz,NS.X0182.004.IDT_i7_207---IDT_i5_207.H5CK2100RP2D00_R2.fastq.gz
H5CK2720RP2D00,NS.X0182.004.IDT_i7_208---IDT_i5_208.H5CK2720RP2D00_R1.fastq.gz,NS.X0182.004.IDT_i7_208---IDT_i5_208.H5CK2720RP2D00_R2.fastq.gz
H5CK2832RP2D00,NS.X0182.004.IDT_i7_209---IDT_i5_209.H5CK2832RP2D00_R1.fastq.gz,NS.X0182.004.IDT_i7_209---IDT_i5_209.H5CK2832RP2D00_R2.fastq.gz
H5CK2034RP5D00,NS.X0182.004.IDT_i7_219---IDT_i5_219.H5CK2034RP5D00_R1.fastq.gz,NS.X0182.004.IDT_i7_219---IDT_i5_219.H5CK2034RP5D00_R2.fastq.gz
H5CK2120RP5D00,NS.X0182.004.IDT_i7_220---IDT_i5_220.H5CK2120RP5D00_R1.fastq.gz,NS.X0182.004.IDT_i7_220---IDT_i5_220.H5CK2120RP5D00_R2.fastq.gz
H5CK2713RP5D00,NS.X0182.004.IDT_i7_221---IDT_i5_221.H5CK2713RP5D00_R1.fastq.gz,NS.X0182.004.IDT_i7_221---IDT_i5_221.H5CK2713RP5D00_R2.fastq.gz
H5CF8538RP6D00,NS.X0182.004.IDT_i7_223---IDT_i5_223.H5CF8538RP6D00_R1.fastq.gz,NS.X0182.004.IDT_i7_223---IDT_i5_223.H5CF8538RP6D00_R2.fastq.gz
H5CF8587RP8D00,NS.X0182.004.IDT_i7_231---IDT_i5_231.H5CF8587RP8D00_R1.fastq.gz,NS.X0182.004.IDT_i7_231---IDT_i5_231.H5CF8587RP8D00_R2.fastq.gz
H5CK2059RP8D00,NS.X0182.004.IDT_i7_232---IDT_i5_232.H5CK2059RP8D00_R1.fastq.gz,NS.X0182.004.IDT_i7_232---IDT_i5_232.H5CK2059RP8D00_R2.fastq.gz
H5CK2758RP8D00,NS.X0182.004.IDT_i7_233---IDT_i5_233.H5CK2758RP8D00_R1.fastq.gz,NS.X0182.004.IDT_i7_233---IDT_i5_233.H5CK2758RP8D00_R2.fastq.gz
H5CF8598RP9D00,NS.X0182.004.IDT_i7_235---IDT_i5_235.H5CF8598RP9D00_R1.fastq.gz,NS.X0182.004.IDT_i7_235---IDT_i5_235.H5CF8598RP9D00_R2.fastq.gz
H5CK2100RP2D28,NS.X0182.004.IDT_i7_243---IDT_i5_243.H5CK2100RP2D28_R1.fastq.gz,NS.X0182.004.IDT_i7_243---IDT_i5_243.H5CK2100RP2D28_R2.fastq.gz
H5CK2720RP2D28,NS.X0182.004.IDT_i7_244---IDT_i5_244.H5CK2720RP2D28_R1.fastq.gz,NS.X0182.004.IDT_i7_244---IDT_i5_244.H5CK2720RP2D28_R2.fastq.gz
H5CK2832RP2D28,NS.X0182.004.IDT_i7_245---IDT_i5_245.H5CK2832RP2D28_R1.fastq.gz,NS.X0182.004.IDT_i7_245---IDT_i5_245.H5CK2832RP2D28_R2.fastq.gz
H5CF8074RP3D28,NS.X0182.004.IDT_i7_247---IDT_i5_247.H5CF8074RP3D28_R1.fastq.gz,NS.X0182.004.IDT_i7_247---IDT_i5_247.H5CF8074RP3D28_R2.fastq.gz
H5CK2034RP5D28,NS.X0182.004.IDT_i7_255---IDT_i5_255.H5CK2034RP5D28_R1.fastq.gz,NS.X0182.004.IDT_i7_255---IDT_i5_255.H5CK2034RP5D28_R2.fastq.gz
H5CK2120RP5D28,NS.X0182.004.IDT_i7_256---IDT_i5_256.H5CK2120RP5D28_R1.fastq.gz,NS.X0182.004.IDT_i7_256---IDT_i5_256.H5CK2120RP5D28_R2.fastq.gz
H5CK2713RP5D28,NS.X0182.004.IDT_i7_257---IDT_i5_257.H5CK2713RP5D28_R1.fastq.gz,NS.X0182.004.IDT_i7_257---IDT_i5_257.H5CK2713RP5D28_R2.fastq.gz
H5CF8538RP6D28,NS.X0182.004.IDT_i7_259---IDT_i5_259.H5CF8538RP6D28_R1.fastq.gz,NS.X0182.004.IDT_i7_259---IDT_i5_259.H5CF8538RP6D28_R2.fastq.gz
H5CF8587RP8D28,NS.X0182.004.IDT_i7_267---IDT_i5_267.H5CF8587RP8D28_R1.fastq.gz,NS.X0182.004.IDT_i7_267---IDT_i5_267.H5CF8587RP8D28_R2.fastq.gz
H5CK2059RP8D28,NS.X0182.004.IDT_i7_268---IDT_i5_268.H5CK2059RP8D28_R1.fastq.gz,NS.X0182.004.IDT_i7_268---IDT_i5_268.H5CK2059RP8D28_R2.fastq.gz
H5CK2758RP8D28,NS.X0182.004.IDT_i7_269---IDT_i5_269.H5CK2758RP8D28_R1.fastq.gz,NS.X0182.004.IDT_i7_269---IDT_i5_269.H5CK2758RP8D28_R2.fastq.gz
H5CF8598RP9D28,NS.X0182.004.IDT_i7_271---IDT_i5_271.H5CF8598RP9D28_R1.fastq.gz,NS.X0182.004.IDT_i7_271---IDT_i5_271.H5CF8598RP9D28_R2.fastq.gz
H5CF8122RP2D70,NS.X0182.004.IDT_i7_278---IDT_i5_278.H5CF8122RP2D70_R1.fastq.gz,NS.X0182.004.IDT_i7_278---IDT_i5_278.H5CF8122RP2D70_R2.fastq.gz
H5CK2100RP2D70,NS.X0182.004.IDT_i7_279---IDT_i5_279.H5CK2100RP2D70_R1.fastq.gz,NS.X0182.004.IDT_i7_279---IDT_i5_279.H5CK2100RP2D70_R2.fastq.gz
H5CK2720RP2D70,NS.X0182.004.IDT_i7_280---IDT_i5_280.H5CK2720RP2D70_R1.fastq.gz,NS.X0182.004.IDT_i7_280---IDT_i5_280.H5CK2720RP2D70_R2.fastq.gz
H5CK2832RP2D70,NS.X0182.004.IDT_i7_281---IDT_i5_281.H5CK2832RP2D70_R1.fastq.gz,NS.X0182.004.IDT_i7_281---IDT_i5_281.H5CK2832RP2D70_R2.fastq.gz
H5CF8074RP3D70,NS.X0182.004.IDT_i7_283---IDT_i5_283.H5CF8074RP3D70_R1.fastq.gz,NS.X0182.004.IDT_i7_283---IDT_i5_283.H5CF8074RP3D70_R2.fastq.gz
H5CK2004RP4D00,NS.X0182.004.IDT_i7_33---IDT_i5_33.H5CK2004RP4D00_R1.fastq.gz,NS.X0182.004.IDT_i7_33---IDT_i5_33.H5CK2004RP4D00_R2.fastq.gz
H5CK2062RP4D00,NS.X0182.004.IDT_i7_34---IDT_i5_34.H5CK2062RP4D00_R1.fastq.gz,NS.X0182.004.IDT_i7_34---IDT_i5_34.H5CK2062RP4D00_R2.fastq.gz
H5CK2755RP4D00,NS.X0182.004.IDT_i7_35---IDT_i5_35.H5CK2755RP4D00_R1.fastq.gz,NS.X0182.004.IDT_i7_35---IDT_i5_35.H5CK2755RP4D00_R2.fastq.gz
H5CF8529RP5D00,NS.X0182.004.IDT_i7_36---IDT_i5_36.H5CF8529RP5D00_R1.fastq.gz,NS.X0182.004.IDT_i7_36---IDT_i5_36.H5CF8529RP5D00_R2.fastq.gz
H5CK2717RP7D00,NS.X0182.004.IDT_i7_46---IDT_i5_46.H5CK2717RP7D00_R1.fastq.gz,NS.X0182.004.IDT_i7_46---IDT_i5_46.H5CK2717RP7D00_R2.fastq.gz
H5CK2747RP7D00,NS.X0182.004.IDT_i7_47---IDT_i5_47.H5CK2747RP7D00_R1.fastq.gz,NS.X0182.004.IDT_i7_47---IDT_i5_47.H5CK2747RP7D00_R2.fastq.gz
H5CK2731RP1D28,NS.X0182.004.IDT_i7_58---IDT_i5_58.H5CK2731RP1D28_R1.fastq.gz,NS.X0182.004.IDT_i7_58---IDT_i5_58.H5CK2731RP1D28_R2.fastq.gz
H5CK2781RP1D28,NS.X0182.004.IDT_i7_59---IDT_i5_59.H5CK2781RP1D28_R1.fastq.gz,NS.X0182.004.IDT_i7_59---IDT_i5_59.H5CK2781RP1D28_R2.fastq.gz
H5CF8122RP2D28,NS.X0182.004.IDT_i7_60---IDT_i5_60.H5CF8122RP2D28_R1.fastq.gz,NS.X0182.004.IDT_i7_60---IDT_i5_60.H5CF8122RP2D28_R2.fastq.gz
H5CK2062RP4D28,NS.X0182.004.IDT_i7_70---IDT_i5_70.H5CK2062RP4D28_R1.fastq.gz,NS.X0182.004.IDT_i7_70---IDT_i5_70.H5CK2062RP4D28_R2.fastq.gz
H5CK2755RP4D28,NS.X0182.004.IDT_i7_71---IDT_i5_71.H5CK2755RP4D28_R1.fastq.gz,NS.X0182.004.IDT_i7_71---IDT_i5_71.H5CK2755RP4D28_R2.fastq.gz
H5CF8529RP5D28,NS.X0182.004.IDT_i7_72---IDT_i5_72.H5CF8529RP5D28_R1.fastq.gz,NS.X0182.004.IDT_i7_72---IDT_i5_72.H5CF8529RP5D28_R2.fastq.gz
H5CK2717RP7D28,NS.X0182.004.IDT_i7_82---IDT_i5_82.H5CK2717RP7D28_R1.fastq.gz,NS.X0182.004.IDT_i7_82---IDT_i5_82.H5CK2717RP7D28_R2.fastq.gz
H5CK2747RP7D28,NS.X0182.004.IDT_i7_83---IDT_i5_83.H5CK2747RP7D28_R1.fastq.gz,NS.X0182.004.IDT_i7_83---IDT_i5_83.H5CK2747RP7D28_R2.fastq.gz
H5CK2731RP1D70,NS.X0182.004.IDT_i7_94---IDT_i5_94.H5CK2731RP1D70_R1.fastq.gz,NS.X0182.004.IDT_i7_94---IDT_i5_94.H5CK2731RP1D70_R2.fastq.gz
H5CK2005RP6D70,NS.X0182.004.IDT_i7_97---IDT_i5_97.H5CK2005RP6D70_R1.fastq.gz,NS.X0182.004.IDT_i7_97---IDT_i5_97.H5CK2005RP6D70_R2.fastq.gz
H5CK2078RP6D70,NS.X0182.004.IDT_i7_98---IDT_i5_98.H5CK2078RP6D70_R1.fastq.gz,NS.X0182.004.IDT_i7_98---IDT_i5_98.H5CK2078RP6D70_R2.fastq.gz
